hydr_jahr	all	uncontrolled
1969/70	175	68
1970/71	109	75
1971/72	84	48
1972/73	117	84
1973/74	54	45
1974/75	105	28
1975/76	86	69
1976/77	119	97
1977/78	146	99
1978/79	94	82
1979/80	99	74
1980/81	107	82
1981/82	94	86
1982/83	102	93
1983/84	132	101
1984/85	178	157
1985/86	147	113
1986/87	89	83
1987/88	122	104
1988/89	55	48
1989/90	74	62
1990/91	148	114
1991/92	56	47
1992/93	97	90
1993/94	92	85
1994/95	78	75
1995/96	108	99
1996/97	89	85
1997/98	66	64
1998/99	142	70
1999/00	97	94
2000/01	110	101
2001/02	82	80
2002/03	103	103
2003/04	67	65
2004/05	111	110
2005/06	130	126
2006/07	65	65
2007/08	81	78
2008/09	126	124
2009/10	153	150
2010/11	70	67
2011/12	52	49
2012/13	102	99
2013/14	72	70
2014/15	131	128
