Entity,Year,One-sided violence,Non-state,Intrastate,Extrasystemic,Interstate
Africa,1989,3598,2507,34907,0,0
Africa,1990,6574,1373,64839,0,0
Africa,1991,5754,2707,25480,0,0
Africa,1992,4087,7460,6887,0,0
Africa,1993,11851,13985,15064,0,0
Africa,1994,778178,3869,9605,0,0
Africa,1995,11408,2435,6810,0,0
Africa,1996,52742,3460,8120,0,56
Africa,1997,19823,3202,24107,0,0
Africa,1998,9529,2810,22571,0,1000
Africa,1999,9139,4432,14271,0,47192
Africa,2000,2972,5190,9896,0,50000
Africa,2001,2581,3446,10659,0,0
Africa,2002,9732,4996,7452,0,0
Africa,2003,9522,2912,6358,0,0
Africa,2004,7963,3249,6045,0,0
Africa,2005,2070,1552,1600,0,0
Africa,2006,1765,2144,3694,0,0
Africa,2007,1157,1158,3379,0,0
Africa,2008,1987,1457,4673,0,35
Africa,2009,3914,3088,5610,0,0
Africa,2010,1151,2008,3971,0,0
Africa,2011,1842,3701,8463,0,0
Africa,2012,1799,2460,6160,0,367
Africa,2013,4989,3050,7203,0,0
Africa,2014,9004,4885,10341,0,0
Africa,2015,6581,3617,10282,0,0
Africa,2016,3331,3046,9950,0,25
Africa,2017,3850,4728,9425,0,0
Africa,2018,2953,5392,6839,0,0
Africa,2019,4042,2920,8391,0,0
Africa,2020,7953,3574,30306,0,0
Africa,2021,10005,3569,135084,0,0
Africa,2022,8546,4461,175197,0,0
Africa,2023,7604,3785,21022,0,0
Americas,1989,699,0,7872,0,843
Americas,1990,935,41,2610,0,0
Americas,1991,709,90,2183,0,0
Americas,1992,544,0,2732,0,0
Americas,1993,436,72,912,0,0
Americas,1994,528,155,1558,0,0
Americas,1995,220,65,1028,0,99
Americas,1996,231,0,1309,0,0
Americas,1997,289,110,653,0,0
Americas,1998,506,216,964,0,0
Americas,1999,583,175,1449,0,0
Americas,2000,1977,526,1870,0,0
Americas,2001,4769,916,2097,0,0
Americas,2002,1568,842,3392,0,0
Americas,2003,2189,306,2078,0,0
Americas,2004,1570,606,1562,0,0
Americas,2005,199,450,1389,0,0
Americas,2006,59,669,502,0,0
Americas,2007,0,1938,348,0,0
Americas,2008,83,3895,284,0,0
Americas,2009,56,5640,427,0,0
Americas,2010,84,6164,447,0,0
Americas,2011,403,4614,202,0,0
Americas,2012,34,6155,211,0,0
Americas,2013,0,4486,140,0,0
Americas,2014,76,3267,119,0,0
Americas,2015,46,4617,134,0,0
Americas,2016,60,4358,30,0,0
Americas,2017,121,12598,0,0,0
Americas,2018,247,14376,131,0,0
Americas,2019,103,13579,115,0,0
Americas,2020,253,17674,28,0,0
Americas,2021,283,19692,113,0,0
Americas,2022,505,15998,107,0,0
Americas,2023,725,16358,87,0,0
Asia and Oceania,1989,3338,1214,9993,0,25
Asia and Oceania,1990,1974,2504,10104,0,28
Asia and Oceania,1991,1435,704,15409,0,100
Asia and Oceania,1992,1446,1010,17014,0,25
Asia and Oceania,1993,579,518,9385,0,0
Asia and Oceania,1994,389,275,12600,0,42
Asia and Oceania,1995,532,1265,12719,0,0
Asia and Oceania,1996,932,606,11999,0,35
Asia and Oceania,1997,1049,640,11366,0,127
Asia and Oceania,1998,7044,428,12084,0,147
Asia and Oceania,1999,2269,1352,8310,0,934
